iter	Passed	Remaining
0	1	126
1	2	116
2	3	113
3	4	112
4	5	111
5	7	109
6	7	105
7	9	105
8	10	102
9	11	101
10	12	100
11	13	99
12	14	97
13	15	95
14	16	94
15	17	92
16	18	91
17	19	89
18	20	88
19	21	87
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	79
26	28	78
27	29	77
28	31	75
29	32	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	55
48	51	54
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	60	44
58	61	42
59	62	41
60	63	40
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
